GameNumber,Date,Color,Opponent,Result,Outcome,MyElo,OpponentElo,TimeControl,ECO,Opening,Termination,Site,NumPlies
3880,2024.11.13,White,manofromperu,1-0,Win,517,507,180+2,D05,,KatsMeow23 won by checkmate,Chess.com,21
3881,2024.11.13,White,VanCleaveJoshua,1-0,Win,524,481,180+2,D00,,KatsMeow23 won by resignation,Chess.com,29
3882,2024.11.13,Black,BW29P,0-1,Win,531,495,180+2,B07,,KatsMeow23 won by checkmate,Chess.com,94
3883,2024.11.13,Black,Cornyvirus19,0-1,Win,539,505,180+2,A40,,KatsMeow23 won on time,Chess.com,54
3884,2024.11.13,White,RayhaanAbu,0-1,Loss,532,590,180+2,D05,,RayhaanAbu won on time,Chess.com,66
3885,2024.11.13,White,satty5k,1-0,Win,540,515,180+2,D04,,KatsMeow23 won by checkmate,Chess.com,63
3886,2024.11.13,Black,THEsleepy1,1-0,Loss,532,552,180+2,B28,,THEsleepy1 won on time,Chess.com,77
3887,2024.11.13,White,eslammobark,1-0,Win,540,508,180+2,D02,,KatsMeow23 won by checkmate,Chess.com,63
3888,2024.11.13,Black,nass2024,1-0,Loss,532,542,180+2,C41,,nass2024 won on time,Chess.com,51
3889,2024.11.13,Black,Jpedro22,1-0,Loss,524,522,180+2,B07,,Jpedro22 won on time,Chess.com,47
3890,2024.11.13,White,AN0n4200,1-0,Win,532,503,180+2,A48,,KatsMeow23 won by resignation,Chess.com,33
3891,2024.11.13,Black,Blazerdoodle,0-1,Win,539,477,180+2,B07,,KatsMeow23 won by resignation,Chess.com,43
3892,2024.11.13,White,mastersalim,0-1,Loss,531,549,180+2,A40,,mastersalim won on time,Chess.com,42
3893,2024.11.13,Black,ashwanimalav,1-0,Loss,523,551,180+2,B07,,ashwanimalav won on time,Chess.com,57
3894,2024.11.13,White,TabNeil,0-1,Loss,885,891,600,A80,,TabNeil won by checkmate,Chess.com,72
3895,2024.11.13,Black,SsiadKacper,0-1,Win,893,888,600,B10,,KatsMeow23 won by checkmate,Chess.com,68
3896,2024.11.13,White,ryal1995,0-1,Loss,885,894,600,D02,,ryal1995 won by resignation,Chess.com,78
3897,2024.11.13,White,breeg80,1-0,Win,893,894,600,D02,,KatsMeow23 won - game abandoned,Chess.com,89
3898,2024.11.13,Black,flamel1947,0-1,Win,901,872,600,C41,,KatsMeow23 won by checkmate,Chess.com,54
3899,2024.11.13,White,Barrysupernoob,1-0,Win,909,907,600,A48,,KatsMeow23 won by checkmate,Chess.com,57
3900,2024.11.13,Black,Hitchens1,1-0,Loss,516,561,180+2,B07,,Hitchens1 won on time,Chess.com,41
3901,2024.11.13,White,ViggoDaCool,0-1,Loss,508,518,180+2,D04,,ViggoDaCool won on time,Chess.com,78
3902,2024.11.14,Black,dannywhatsthat,1-0,Loss,500,497,180+2,B10,,dannywhatsthat won on time,Chess.com,39
3903,2024.11.14,White,dave_AKA_tobi,1-0,Win,508,490,180+2,A48,,KatsMeow23 won by checkmate,Chess.com,59
3904,2024.11.14,Black,paollo_padre,1-0,Loss,500,499,180+2,C41,,paollo_padre won on time,Chess.com,45
3905,2024.11.14,White,JSANZ1981,1-0,Win,508,472,180+2,A40,,KatsMeow23 won by checkmate,Chess.com,85
3906,2024.11.14,Black,KeWin_98,1-0,Loss,500,520,180+2,B20,,KeWin_98 won on time,Chess.com,83
3907,2024.11.14,Black,x-9612783868,1-0,Loss,491,485,180+2,A43,,DarlongChess won on time,Chess.com,57
3908,2024.11.15,White,rdauz,1-0,Win,499,499,180+2,C47,,KatsMeow23 won - game abandoned,Chess.com,33
3909,2024.11.15,White,itsjoshramos,1-0,Win,506,468,180+2,B07,,KatsMeow23 won by checkmate,Chess.com,43
3910,2024.11.15,White,Darth_Laber,0-1,Loss,497,455,180+2,B10,,Darth_Laber won by checkmate,Chess.com,32
3911,2024.11.15,Black,Faiqa01,1-0,Loss,490,528,180+2,B21,,Faiqa01 won on time,Chess.com,41
3912,2024.11.15,White,adexjumbo,0-1,Loss,483,541,180+2,B01,,adexjumbo won on time,Chess.com,44
3913,2024.11.15,Black,BuildXC,1-0,Loss,475,508,180+2,A41,,BuildXC won on time,Chess.com,51
3914,2024.11.15,White,ybmeppresser,0-1,Loss,467,484,180+2,D02,,ybmeppresser won on time,Chess.com,58
3915,2024.11.15,Black,sami2780,0-1,Win,475,478,180+2,C41,,KatsMeow23 won by checkmate,Chess.com,48
3916,2024.11.15,Black,prompt79,0-1,Win,483,453,180+2,B07,,KatsMeow23 won on time,Chess.com,106
3917,2024.11.15,Black,Kaurahattu,1-0,Loss,475,491,180+2,C41,,Kaurahattu won by checkmate,Chess.com,57
3918,2024.11.15,White,UNTbone,1-0,Win,483,473,180+2,D02,,KatsMeow23 won by checkmate,Chess.com,39
3919,2024.11.15,White,advancenova,1-0,Win,491,493,180+2,A04,,KatsMeow23 won by resignation,Chess.com,41
3920,2024.11.15,Black,hedibzh,1-0,Loss,483,513,180+2,C41,,hedibzh won by checkmate,Chess.com,45
3921,2024.11.15,White,Omidfr1366,0-1,Loss,474,461,180+2,B01,,Omidfr1366 won on time,Chess.com,60
3922,2024.11.15,Black,MangoWango99,1-0,Loss,465,445,180+2,C50,,MangoWango99 won on time,Chess.com,61
3923,2024.11.15,White,electrigician,1-0,Win,475,546,180+2,B01,,KatsMeow23 won by checkmate,Chess.com,41
3924,2024.11.15,White,Tyvan07,0-1,Loss,466,436,180+2,C00,,Tyvan07 won on time,Chess.com,48
3925,2024.11.16,Black,pbp7,1-0,Loss,458,483,180+2,B10,,pbp7 won on time,Chess.com,69
3926,2024.11.16,Black,dasemoo,0-1,Win,465,387,180+2,B07,,KatsMeow23 won by resignation,Chess.com,35
3927,2024.11.16,White,narayanankrishna,0-1,Loss,457,472,180+2,C40,,narayanankrishna won on time,Chess.com,58
3928,2024.11.16,Black,dinmuhammedken,1-0,Loss,448,425,180+2,B07,,dinmuhammedken won on time,Chess.com,75
3929,2024.11.16,White,nordsaar,1-0,Win,917,891,600,D04,,KatsMeow23 won by checkmate,Chess.com,35
3930,2024.11.16,Black,anderson-monteiro,0-1,Win,925,917,600,B20,,KatsMeow23 won by resignation,Chess.com,14
3931,2024.11.16,White,abogoman1011,1-0,Win,933,925,600,D02,,KatsMeow23 won on time,Chess.com,115
3932,2024.11.16,White,SeaC,1-0,Win,941,918,600,A46,,KatsMeow23 won by checkmate,Chess.com,73
3933,2024.11.16,Black,Johnferno93,0-1,Win,949,952,600,B28,,KatsMeow23 won by checkmate,Chess.com,82
3934,2024.11.16,White,krishantharuka1618,1-0,Win,957,948,600,C41,,KatsMeow23 won by checkmate,Chess.com,29
3935,2024.11.16,Black,BIJU1030,1-0,Loss,949,974,600,B10,,BIJU1030 won by resignation,Chess.com,30
3936,2024.11.16,Black,Flavcon21,1-0,Loss,941,956,600,B10,,Flavcon21 won by resignation,Chess.com,63
3937,2024.11.16,White,Mxyziptlix,0-1,Loss,440,441,180+2,B50,,Mxyziptlix won on time,Chess.com,46
3938,2024.11.13,Black,eddys0907,0-1,Win,867,889,1/259200,B07,,KatsMeow23 won by resignation,Chess.com,32
3939,2024.11.16,Black,tatuzinhoo,1-0,Loss,432,468,180+2,B01,,tatuzinhoo won on time,Chess.com,47
3940,2024.11.16,White,Rahul707094,1-0,Win,949,936,600,C50,,KatsMeow23 won by checkmate,Chess.com,19
3941,2024.11.17,White,dimitrov259,0-1,Loss,941,944,600,C50,,dimitrov259 won by resignation,Chess.com,60
3942,2024.11.17,Black,kodaliameeth,0-1,Win,949,941,600,B10,,KatsMeow23 won by resignation,Chess.com,60
3943,2024.11.17,Black,SRThilak,1-0,Loss,941,977,600,B10,,SRThilak won by checkmate,Chess.com,69
3944,2024.11.17,White,moisantos,0-1,Loss,934,973,600,B33,,moisantos won by resignation,Chess.com,84
3945,2024.11.17,White,MoonMouse33,0-1,Loss,926,940,600,A40,,MoonMouse33 won on time,Chess.com,82
3946,2024.11.17,White,aiva777,1-0,Win,934,928,900+10,D05,,KatsMeow23 won by checkmate,Chess.com,105
3947,2024.11.17,Black,kalyanDarling,0-1,Win,944,1001,900+10,B13,,KatsMeow23 won by checkmate,Chess.com,130
3948,2024.11.17,Black,CSvdW,1-0,Loss,935,923,900+10,B28,,CSvdW won by checkmate,Chess.com,55
3949,2024.11.17,White,realkush1234,1-0,Win,943,944,900+10,B01,,KatsMeow23 won by checkmate,Chess.com,99
3950,2024.11.17,White,somevell,1-0,Win,951,949,900+10,C42,,KatsMeow23 won by resignation,Chess.com,55
3951,2024.11.17,Black,kameel08,1/2-1/2,Draw,951,960,900+10,A00,,Game drawn by agreement,Chess.com,23
3952,2024.11.17,White,MujaMuja,0-1,Loss,942,928,900+10,C00,,MujaMuja won by checkmate,Chess.com,84
3953,2024.11.18,White,morningknight21,0-1,Loss,933,928,900+10,C41,,morningknight21 won by resignation,Chess.com,72
3954,2024.11.18,Black,Alphie_Harry,1-0,Loss,926,975,900+10,A46,,Alphie_Harry won by resignation,Chess.com,61
3955,2024.11.18,White,nairnk,1-0,Win,934,930,600,B30,,KatsMeow23 won by checkmate,Chess.com,43
3956,2024.11.18,Black,ASTROFER21,0-1,Win,942,931,600,B12,,KatsMeow23 won by checkmate,Chess.com,66
3957,2024.11.16,White,eddys0907,1-0,Win,878,890,1/259200,C51,,KatsMeow23 won by checkmate,Chess.com,35
3958,2024.11.18,Black,Saudjml,0-1,Win,950,941,900+10,D11,,KatsMeow23 won - game abandoned,Chess.com,54
3959,2024.11.18,White,HolyWarriorNINETY1,0-1,Loss,942,957,600,B45,,HolyWarriorNINETY1 won on time,Chess.com,112
3960,2024.11.18,Black,folkati,0-1,Win,440,439,180+2,A07,,KatsMeow23 won by checkmate,Chess.com,60
3961,2024.11.18,Black,BaBuSkaBoY1,1-0,Loss,432,444,180+2,B10,,BaBuSkaBoY1 won on time,Chess.com,53
3962,2024.11.19,White,NickiTays,0-1,Loss,424,423,180+2,D02,,NickiTays won on time,Chess.com,58
3963,2024.11.19,White,ChessNut_Sam,1-0,Win,949,901,900+10,C40,,KatsMeow23 won by checkmate,Chess.com,59
3964,2024.11.19,White,kylej1897,0-1,Loss,941,977,900+10,C55,,kylej1897 won by checkmate,Chess.com,56
3965,2024.11.19,Black,vidal733,0-1,Win,432,426,180+2,B10,,KatsMeow23 won by checkmate,Chess.com,60
3966,2024.11.19,White,juuurica,1-0,Win,442,517,180+2,C51,,KatsMeow23 won by resignation,Chess.com,27
3967,2024.11.19,Black,joaquinm2022,0-1,Win,450,429,180+2,D00,,KatsMeow23 won on time,Chess.com,44
3968,2024.11.20,Black,Albeiro02,0-1,Win,947,844,900+10,B10,,KatsMeow23 won by checkmate,Chess.com,80
3969,2024.11.20,White,Albeiro02,1-0,Win,953,838,900+10,C41,,KatsMeow23 won by checkmate,Chess.com,81
3970,2024.11.20,White,silasred,0-1,Loss,948,1091,900+10,C55,,silasred won by resignation,Chess.com,42
3971,2024.11.20,Black,KWaghmare,1-0,Loss,939,893,900+10,B23,,KWaghmare won by resignation,Chess.com,63
3972,2024.11.19,Black,JBschaakspeler,1-0,Loss,868,887,1/86400,D10,,JBschaakspeler won by checkmate,Chess.com,39
3973,2024.11.19,White,benaureFR,1-0,Win,882,1062,1/86400,B01,,KatsMeow23 won by checkmate,Chess.com,73
3974,2024.11.20,Black,Adhqm-elso3dy,0-1,Win,946,898,900+10,B28,,KatsMeow23 won by resignation,Chess.com,34
3975,2024.11.20,Black,samuelsalmeron,0-1,Win,459,463,180+2,B10,,KatsMeow23 won by checkmate,Chess.com,52
3976,2024.11.20,White,riomust,1-0,Win,467,447,180+2,C40,,KatsMeow23 won - game abandoned,Chess.com,3
3977,2024.11.20,White,breaking123456,0-1,Loss,459,466,180+2,C45,,breaking123456 won by checkmate,Chess.com,118
3978,2024.11.20,White,fookssssssss,0-1,Loss,451,469,180+2,B01,,fookssssssss won on time,Chess.com,64
3979,2024.11.19,Black,JustHun,0-1,Win,893,838,1/86400,B15,,KatsMeow23 won by checkmate,Chess.com,58
3980,2024.11.21,Black,Clemscoo,0-1,Win,459,448,180+2,B20,,KatsMeow23 won by resignation,Chess.com,14
3981,2024.11.21,Black,imexo99,1-0,Loss,451,472,180+2,B10,,imexo99 won on time,Chess.com,45
3982,2024.11.21,Black,Brummel1960,0-1,Win,459,436,180+2,B21,,KatsMeow23 won by resignation,Chess.com,46
3983,2024.11.21,White,EricTheRed1127,1-0,Win,467,434,180+2,C20,,KatsMeow23 won on time,Chess.com,45
3984,2024.11.21,Black,diegojaa,1-0,Loss,459,481,180+2,B12,,diegojaa won on time,Chess.com,61
3985,2024.11.21,White,TilekTilekTilek,0-1,Loss,451,448,180+2,C50,,TilekTilekTilek won by checkmate,Chess.com,56
3986,2024.11.21,Black,Mujibu_Nuansa,1-0,Loss,938,1024,900+10,B10,,Mujibu_Nuansa won by checkmate,Chess.com,71
3987,2024.11.21,White,Johnny_Banana,1-0,Win,458,409,180+2,C00,,KatsMeow23 won on time,Chess.com,53
3988,2024.11.21,Black,eriktenhaghid,1-0,Loss,449,442,180+2,A01,,eriktenhaghid won on time,Chess.com,47
3989,2024.11.21,Black,retheeshraj,1-0,Loss,930,933,900+10,B12,,retheeshraj won by resignation,Chess.com,39
3990,2024.11.21,White,attaallah,1-0,Win,938,917,900+10,B06,,KatsMeow23 won by checkmate,Chess.com,43
3991,2024.11.21,Black,Aminkt444,1-0,Loss,931,984,900+10,B12,,Aminkt444 won by resignation,Chess.com,85
3992,2024.11.21,Black,ryantcli,0-1,Win,459,513,180+2,B10,,KatsMeow23 won by resignation,Chess.com,22
3993,2024.11.21,White,ggawaygg,0-1,Loss,451,461,180+2,C43,,ggawaygg won on time,Chess.com,64
3994,2024.11.21,White,Ahmedmoo6546,1-0,Win,939,905,900+10,C43,,KatsMeow23 won by resignation,Chess.com,25
3995,2024.11.21,White,luaiardo60,0-1,Loss,931,943,900+10,C41,,luaiardo60 won by checkmate,Chess.com,74
3996,2024.11.21,Black,luaiardo60,1-0,Loss,923,951,900+10,B13,,luaiardo60 won by checkmate,Chess.com,67
3997,2024.11.21,Black,rubenlopesmagalhaes,1-0,Loss,443,455,180+2,D10,,rubenlopesmagalhaes won - game abandoned,Chess.com,7
3998,2024.11.21,White,Aaronortu92,1-0,Win,451,426,180+2,B07,,KatsMeow23 won by checkmate,Chess.com,31
3999,2024.11.19,Black,benaureFR,0-1,Win,909,1210,1/86400,D02,,KatsMeow23 won by resignation,Chess.com,86
4000,2024.11.22,Black,FilippGua,1-0,Loss,914,910,900+10,B12,,FilippGua won by checkmate,Chess.com,69
4001,2024.11.19,White,onlysttudent,1-0,Win,920,859,1/86400,A45,,KatsMeow23 won by checkmate,Chess.com,27
4002,2024.11.22,Black,KamaricEdmin,1-0,Loss,908,998,900+10,B15,,KamaricEdmin won by resignation,Chess.com,87
4003,2024.11.22,White,4Ever-Green,1-0,Win,917,932,900+10,C55,,KatsMeow23 won by resignation,Chess.com,41
4004,2024.11.22,White,mrdoom777,0-1,Loss,910,970,900+10,B02,,mrdoom777 won by resignation,Chess.com,137
4005,2024.11.22,Black,Billy0318,1-0,Loss,902,904,600,B10,,Billy0318 won by resignation,Chess.com,63
4006,2024.11.22,Black,Bjoernsen1,1-0,Loss,442,437,180+2,B10,,Bjoernsen1 won on time,Chess.com,39
4007,2024.11.22,White,Gg_Guardian,1-0,Win,449,407,180+2,C55,,KatsMeow23 won on time,Chess.com,51
4008,2024.11.22,Black,jrothieno,1-0,Loss,441,472,180+2,D00,,jrothieno won on time,Chess.com,73
4009,2024.11.22,White,andew1216,1-0,Win,449,417,180+2,C55,,KatsMeow23 won on time,Chess.com,49
4010,2024.11.22,Black,ep4io6j,1-0,Loss,442,481,180+2,B10,,ep4io6j won on time,Chess.com,43
4011,2024.11.18,Black,eddys0907,1-0,Loss,910,906,1/259200,B07,,eddys0907 won by resignation,Chess.com,95
4012,2024.11.23,White,Sluggerchess,0-1,Loss,436,530,180+2,C54,,Sluggerchess won on time,Chess.com,64
4013,2024.11.23,Black,adelaenelajedrez,1-0,Loss,895,964,900+10,B28,,adelaenelajedrez won by resignation,Chess.com,115
4014,2024.11.23,White,Biruk_G,1/2-1/2,Draw,895,885,600,B10,,Game drawn by stalemate,Chess.com,124
4015,2024.11.23,Black,Miqezu,1-0,Loss,887,898,600,B12,,Miqezu won by checkmate,Chess.com,43
4016,2024.11.23,White,AlexDavid02,1-0,Win,895,873,600,B27,,KatsMeow23 won by resignation,Chess.com,90
4017,2024.11.23,White,Keslley27,1-0,Win,903,891,600,C45,,KatsMeow23 won by resignation,Chess.com,17
4018,2024.11.23,Black,vicky26071993,0-1,Win,911,902,600,B12,,KatsMeow23 won by checkmate,Chess.com,56
4019,2024.11.19,Black,Brotkorbinius,1/2-1/2,Draw,915,1129,1/86400,B15,,Game drawn by agreement,Chess.com,75
4020,2024.11.23,White,UnlimitedBeeb,1-0,Win,919,916,600,C40,,KatsMeow23 won by checkmate,Chess.com,35
4021,2024.11.24,White,hokage69scorpio,0-1,Loss,911,925,600,C45,,hokage69scorpio won by checkmate,Chess.com,38
4022,2024.11.24,Black,Inpomabar,1-0,Loss,903,908,600,B06,,Inpomabar won by checkmate,Chess.com,73
4023,2024.11.24,Black,EmilioBF56,0-1,Win,911,895,600,B28,,KatsMeow23 won on time,Chess.com,84
4024,2024.11.24,Black,dmdesign,1-0,Loss,904,984,900+10,B12,,dmdesign won by checkmate,Chess.com,27
4025,2024.11.24,White,Zarko62,1-0,Win,913,937,900+10,B28,,KatsMeow23 won by resignation,Chess.com,53
4026,2024.11.24,Black,mohammedesawie,0-1,Win,919,828,900+10,B21,,KatsMeow23 won by checkmate,Chess.com,96
4027,2024.11.24,White,Thchsch88,1-0,Win,928,973,900+10,C45,,KatsMeow23 won by checkmate,Chess.com,47
4028,2024.11.24,Black,amon213,1-0,Loss,920,947,900+10,D00,,amon213 won by resignation,Chess.com,91
4029,2024.11.24,White,cfsoflo142,1-0,Win,927,888,900+10,B10,,KatsMeow23 won by checkmate,Chess.com,99
4030,2024.11.24,Black,tomp1990,0-1,Win,935,902,900+10,B28,,KatsMeow23 won by checkmate,Chess.com,78
4031,2024.10.19,White,an-as1223,0-1,Loss,907,947,1/259200,B02,,an-as1223 won by checkmate,Chess.com,122
4032,2024.11.24,White,jcal0,0-1,Loss,926,885,900+10,C45,,jcal0 won by checkmate,Chess.com,68
4033,2024.11.24,White,KAMEKAZY1,1-0,Win,932,831,900+10,C45,,KatsMeow23 won by checkmate,Chess.com,37
4034,2024.11.25,Black,KAMEKAZY1,0-1,Win,938,825,900+10,B28,,KatsMeow23 won by checkmate,Chess.com,54
4035,2024.11.25,White,rin2103ame,1-0,Win,946,917,900+10,C62,,KatsMeow23 won by checkmate,Chess.com,59
4036,2024.11.25,Black,ronnydub,0-1,Win,954,933,900+10,B20,,KatsMeow23 won by resignation,Chess.com,62
4037,2024.11.25,Black,NocaPowerTeam,1-0,Loss,946,946,900+10,A04,,NocaPowerTeam won by checkmate,Chess.com,127
4038,2024.11.25,White,melohispanico,0-1,Loss,939,1004,900+10,C45,,melohispanico won by checkmate,Chess.com,24
4039,2024.11.25,Black,ChichenTheGod,0-1,Win,945,864,900+10,B00,,KatsMeow23 won by checkmate,Chess.com,48
4040,2024.11.25,White,alonliger,1/2-1/2,Draw,947,1048,900+10,B20,,Game drawn by stalemate,Chess.com,103
4041,2024.11.25,White,MarcusMcBride,0-1,Loss,940,1002,900+10,B00,,MarcusMcBride won by checkmate,Chess.com,86
4042,2024.11.26,Black,gabrielmangano,1-0,Loss,932,932,600,A43,,gabrielmangano won by checkmate,Chess.com,103
4043,2024.11.26,Black,Roy-Bern,1-0,Loss,924,923,600,B20,,Roy-Bern won by checkmate,Chess.com,125
4044,2024.11.26,Black,Palo1905,1-0,Loss,916,912,600,B15,,Palo1905 won by checkmate,Chess.com,47
4045,2024.11.26,White,Serithis,1-0,Win,922,811,900+10,B15,,KatsMeow23 won by resignation,Chess.com,79
4046,2024.11.26,White,cheloi,1-0,Win,932,998,900+10,C00,,KatsMeow23 won by resignation,Chess.com,76
4047,2024.11.26,Black,R1DLLE,0-1,Win,942,1025,900+10,A43,,KatsMeow23 won by resignation,Chess.com,76
4048,2024.11.23,White,eddys0907,1-0,Win,916,899,1/259200,D00,,KatsMeow23 won by resignation,Chess.com,73
4049,2024.11.27,White,Wrecker_007,1-0,Win,444,446,180+2,C45,,KatsMeow23 won on time,Chess.com,35
4050,2024.11.27,Black,Wrecker_007,0-1,Win,452,438,180+2,A43,,KatsMeow23 won on time,Chess.com,68
4051,2024.11.27,White,Wrecker_007,1-0,Win,460,430,180+2,C64,,KatsMeow23 won by checkmate,Chess.com,51
4052,2024.11.27,White,Greco63,1-0,Win,949,897,900+10,C00,,KatsMeow23 won by checkmate,Chess.com,59
4053,2024.11.08,White,SmokeDC,0-1,Loss,916,965,1/259200,D04,,SmokeDC won by resignation,Chess.com,76
4054,2024.11.27,Black,Anagepesis,0-1,Win,468,465,180+2,B30,,KatsMeow23 won by checkmate,Chess.com,52
4055,2024.11.27,White,Gherard95,0-1,Loss,943,1055,900+10,C45,,Gherard95 won by resignation,Chess.com,106
4056,2024.11.28,Black,Speedo24,1-0,Loss,934,910,900+10,A04,,Speedo24 won by checkmate,Chess.com,49
4057,2024.11.28,Black,corleo1n,0-1,Win,941,897,900+10,A43,,KatsMeow23 won by resignation,Chess.com,50
4058,2024.11.28,Black,lidejapris,1-0,Loss,932,887,900+10,B28,,lidejapris won by resignation,Chess.com,53
4059,2024.11.28,White,receiver224,1-0,Win,942,1017,900+10,C50,,KatsMeow23 won by resignation,Chess.com,38
4060,2024.11.28,White,Skadi667,1-0,Win,949,905,900+10,C62,,KatsMeow23 won by resignation,Chess.com,23
4061,2024.11.28,Black,Sumpeoplelikeit,1-0,Loss,940,910,900+10,B28,,Sumpeoplelikeit won by resignation,Chess.com,79
4062,2024.11.28,Black,kazek75,1-0,Loss,460,490,180+2,B21,,kazek75 won by checkmate,Chess.com,89
4063,2024.11.29,White,d1yorbek6,1-0,Win,468,436,180+2,C00,,KatsMeow23 won by checkmate,Chess.com,107
4064,2024.11.29,Black,adanjop,0-1,Win,476,456,180+2,B20,,KatsMeow23 won - game abandoned,Chess.com,46
4065,2024.11.29,White,stefanjbr,1-0,Win,483,445,180+2,B01,,KatsMeow23 won - game abandoned,Chess.com,45
4066,2024.11.29,White,salimav,0-1,Loss,931,924,900+10,C45,,salimav won by resignation,Chess.com,48
4067,2024.11.24,Black,bacsiken11,0-1,Win,916,369,1/259200,A00,,KatsMeow23 won on time,Chess.com,6
4068,2024.11.30,Black,richdenz,0-1,Win,941,1008,900+10,B40,,KatsMeow23 won by checkmate,Chess.com,88
4069,2024.11.30,Black,esatisik,1-0,Loss,473,393,180+2,B28,,esatisik won on time,Chess.com,63
4070,2024.11.30,Black,LungeloBradley,1-0,Loss,931,869,900+10,A43,,LungeloBradley won by checkmate,Chess.com,43
4071,2024.11.30,White,will748,0-1,Loss,920,817,900+10,C47,,will748 won by resignation,Chess.com,63
4072,2024.11.30,White,FFcastle,0-1,Loss,465,462,180+2,C45,,FFcastle won on time,Chess.com,40
4073,2024.12.01,Black,joshuamfz,1-0,Loss,458,501,180+2,B28,,joshuamfz won on time,Chess.com,55
4074,2024.12.01,White,ashokmathur,0-1,Loss,912,924,900+10,C41,,ashokmathur won by resignation,Chess.com,82
4075,2024.12.02,White,imakansal,0-1,Loss,450,467,180+2,B12,,imakansal won on time,Chess.com,52
4076,2024.12.02,Black,DaddyChungus6968,1-0,Loss,441,421,180+2,B28,,DaddyChungus6968 won on time,Chess.com,51
4077,2024.12.02,White,tegrcio,0-1,Loss,434,505,180+2,B32,,tegrcio won on time,Chess.com,58
4078,2024.12.02,Black,figus1997,1-0,Loss,904,924,600,B28,,figus1997 won on time,Chess.com,103
4079,2024.12.02,White,Luhar13,1-0,Win,442,428,180+2,C00,,KatsMeow23 won by checkmate,Chess.com,45
4080,2024.12.02,White,piburglar,1-0,Win,450,430,180+2,C43,,KatsMeow23 won on time,Chess.com,41
4081,2024.12.02,Black,jelmer-the-goodone,0-1,Win,458,426,180+2,B20,,KatsMeow23 won by resignation,Chess.com,25
4082,2024.12.03,Black,ebach90210,1-0,Loss,450,461,180+2,B28,,ebach90210 won on time,Chess.com,59
4083,2024.12.03,Black,CECCOHIT,1-0,Loss,897,973,900+10,B20,,CECCOHIT won by resignation,Chess.com,91
4084,2024.12.03,White,LaloVillalobos39,0-1,Loss,890,931,900+10,A48,,LaloVillalobos39 won by resignation,Chess.com,44
4085,2024.12.03,White,Crab2Strong,0-1,Loss,443,494,180+2,B08,,Crab2Strong won by checkmate,Chess.com,56
4086,2024.12.03,Black,Chuto007,1-0,Loss,436,473,180+2,B20,,Chuto007 won on time,Chess.com,43
4087,2024.12.03,Black,AcaW-u-chat,0-1,Win,444,445,180+2,B28,,KatsMeow23 won - game abandoned,Chess.com,22
4088,2024.12.03,White,matteegee,1-0,Win,452,422,180+2,D04,,KatsMeow23 won on time,Chess.com,63
4089,2024.12.03,Black,hilotv,0-1,Win,460,433,180+2,B22,,KatsMeow23 won on time,Chess.com,64
4090,2024.12.03,White,seang13,0-1,Loss,452,449,180+2,A40,,seang13 won on time,Chess.com,78
4091,2024.12.03,White,StrawHatAnime,0-1,Loss,443,436,180+2,B12,,StrawHatAnime won on time,Chess.com,38
4092,2024.12.03,Black,The_Devils_Mind,0-1,Win,451,432,180+2,B23,,KatsMeow23 won by resignation,Chess.com,29
4093,2024.12.03,Black,Greg59LD,1-0,Loss,443,453,180+2,B20,,Greg59LD won by checkmate,Chess.com,67
4094,2024.12.03,White,xerox_bro7_b,1-0,Win,450,400,180+2,D04,,KatsMeow23 won by resignation,Chess.com,49
4095,2024.12.04,Black,bruno20L,0-1,Win,456,344,180+2,B28,,KatsMeow23 won by resignation,Chess.com,20
4096,2024.12.04,White,alewenstein,1-0,Win,897,852,900+10,D02,,KatsMeow23 won by checkmate,Chess.com,83
4097,2024.12.04,Black,Maksim303,0-1,Win,905,873,900+10,B28,,KatsMeow23 won by checkmate,Chess.com,70
4098,2024.12.04,White,jhjain123,1-0,Win,464,452,180+2,B01,,KatsMeow23 won by resignation,Chess.com,19
4099,2024.12.04,Black,tkempf,1-0,Loss,456,459,180+2,B28,,tkempf won on time,Chess.com,111
4100,2024.12.04,Black,Gor1228,1-0,Loss,899,995,900+10,A40,,Gor1228 won by checkmate,Chess.com,65
4101,2024.12.04,White,Eclipse55,0-1,Loss,894,1022,900+10,D05,,Eclipse55 won by checkmate,Chess.com,160
4102,2024.11.27,White,eddys0907,0-1,Loss,906,909,1/259200,D02,,eddys0907 won by resignation,Chess.com,86
4103,2024.12.04,White,pro100yan,1-0,Win,464,455,180+2,C45,,KatsMeow23 won - game abandoned,Chess.com,37
4104,2024.12.04,White,affenmens,1-0,Win,472,459,180+2,A45,,KatsMeow23 won by checkmate,Chess.com,67
4105,2024.12.04,Black,Walking-Tal,1-0,Loss,464,499,180+2,B28,,Walking-Tal won - game abandoned,Chess.com,9
4106,2024.12.04,Black,1ethan1000,0-1,Win,472,430,180+2,B20,,KatsMeow23 won on time,Chess.com,54
4107,2024.12.04,Black,ocampuzano,1-0,Loss,464,460,180+2,B30,,ocampuzano won by resignation,Chess.com,31
4108,2024.12.04,White,jacobtjader,1-0,Win,472,457,180+2,C45,,KatsMeow23 won on time,Chess.com,53
4109,2024.12.04,Black,jan5274829,1-0,Loss,464,496,180+2,B00,,jan5274829 won on time,Chess.com,51
4110,2024.12.04,White,EVillaCobos,0-1,Loss,457,513,180+2,C45,,EVillaCobos won on time,Chess.com,58
4111,2024.12.04,Black,p8psi,1-0,Loss,449,468,180+2,B28,,p8psi won by checkmate,Chess.com,45
